Titre de la figure,Description de l'image,Type d'illustration,Numéro de page,Source
Le Maroc en 1914,Carte montrant le découpage du Maroc pendant la période coloniale avec les zones sous contrôle français et espagnol.,Carte,2967,2
Carte générale du Maroc,Une carte générale représentant l'empire du Maroc telle qu'indiquée dans les préliminaires de l'ouvrage.,Carte,8,3
Tableau des frontières du Maroc,"Tableau statistique détaillant le développement des frontières sur l'Océan, le détroit, la Méditerranée et l'Algérie.",Tableau,4,3
Tableau de distribution des races au Maroc,"Tableau présentant la répartition numérique des différentes races composant la population marocaine (Amazirgs, Chelloks, Maures, etc.).",Tableau statistique,9,3
Portrait de Sidi-el-Arbi,"Un portrait au daguerréotype du chérif d'Ouazzan, décrit avec une physionomie morne et flasque.",Daguerréotype,95,3
Bas-relief des pèlerins pétrifiés,Sculpture antique dans une caverne près du tombeau de Sidi-Abd-es-Selam représentant un homme et une femme nus avec un serpent.,Bas-relief,90,3
Plan de Fez par Golius,Plan de la ville de Fez levé par le savant Golius lors de son séjour au Maroc.,Plan,170,3
Tableau des recettes impériales,Tableau statistique détaillé des sources de revenus du trésor impérial marocain.,Tableau statistique,163,3
Tableau des dépenses impériales,Tableau listant les principaux postes de dépenses du gouvernement marocain.,Tableau statistique,164,3
Tableau du tarif spécial d'exportation (Traité anglais de 1857),"Liste des droits de douane fixés pour l'exportation de divers produits (blé, huile, laine, etc.).",Tableau de tarifs,205-206,3
Cartes et plans de Tanger à Fez,Ensemble d'illustrations cartographiques accompagnant l'itinéraire militaire du duc de Caraman.,Cartes et plans,565,3
Les principaux sites préhistoriques du Maroc,"Carte montrant l'emplacement des sites préhistoriques (grottes, gravures, outils) à travers le Maroc.",Carte,6,4
Le Maghreb et le Sahara préhistoriques,"Carte des migrations, des zones de gravures rupestres et des industries lithiques en Afrique du Nord.",Carte,8,4
Outils préhistoriques,"Dessins techniques de galets aménagés, bifaces acheuléens et hachereaux.",Dessin,8,4
Outils atériens et de l'ibéro-maurusien,Représentation de divers outils lithiques comme des pointes et des grattoirs.,Dessin,10,4
Gravures rupestres du Grand Atlas,"Série de gravures représentant des armes de bronze (poignards, hallebardes, pointes de flèche) et un char.",Dessin (Fac-similé de gravure),13,4
Gravure du Haut-Atlas: Cavalier armé,Cavalier de la période protohistorique armé d'un javelot et d'un bouclier rond.,Dessin (Fac-similé de gravure),14,4
Le Maroc pré-romain,Carte des comptoirs puniques et des villes maurétaniennes.,Carte,20,4
Le Maroc du Nord à l'époque pré-romaine,"Carte détaillée des sites antiques dans le nord du Maroc (Tingi, Lixus, Volubilis).",Carte,21,4
Monnaie de Juba II,Représentation d'une pièce de monnaie portant l'inscription 'Rex Juba'.,Photographie (Monnaie),22,4
Portrait présumé de Juba II,Buste en marbre ou bronze trouvé à Volubilis représentant le roi savant.,Photographie (Sculpture),22,4
Lixus: cour du temple d'Héraclès,Vue des ruines de l'agencement du temple à l'époque de Juba II.,Photographie (Site archéologique),23,4
La Maurétanie Tingitane,Carte montrant l'étendue de la province romaine et le tracé du limes (fossatum).,Carte,29,4
Lixus. Le théâtre-amphithéâtre romain,Vue aérienne ou d'ensemble des gradins et de la scène circulaire.,Photographie (Site archéologique),37,4
Volubilis. Vue générale,Le decumanus maximus et l'arc de triomphe de Caracalla.,Photographie (Site archéologique),37,4
Volubilis. Chapiteau de la maison aux colonnes,Détail architectural d'un chapiteau sculpté typique de l'influence locale.,Photographie (Élément architectural),38,4
Volubilis. Mosaïque au décor géométrique,Détail d'un pavement rappelant les motifs de tapis berbères.,Photographie (Mosaïque),38,4
L'Empire musulman au IXe siècle,Carte de l'expansion de l'islam et des routes commerciales entre l'Espagne et l'Orient.,Carte,47,4
Le raid d'Oqba ibn Nafi au Maghreb extrême,Itinéraire de l'expédition d'Oqba de Kairouan jusqu'à l'Atlantique.,Carte,49,4
Le Maghreb occidental à l'époque idrisside,"Carte montrant les villes fondées par les Idrissides et les groupes de population (Berrhouata, Masmouda).",Carte,60,4
Dirhem idrisside,Deux faces d'une pièce d'argent frappée à Oulila mentionnant 'Ali'.,Photographie (Monnaie),66,4
Le Maghreb occidental entre les Idrissides et les Almoravides,Carte de la lutte entre Fatimides et Ommeiyades et routes de l'or.,Carte,74,4
Fès : Le minaret de la mosquée Qaraouiyne,Vue du minaret construit par Abderrahman III en 956.,Photographie (Architecture),80,4
Les villes et les routes au XIe siècle,Carte montrant les distances en jours entre les principales cités médiévales.,Carte,88,4
Décor d'une coupole de la Qaraouiyne,Détails ornementaux de style almoravide.,Photographie (Décoration),94,4
Qoubba almoravide de Marrakech,Vue extérieure et détail du dôme sculpté.,Photographie (Architecture),94,4
Mosquée de Tinmel,Vue d'ensemble de la mosquée dans son site montagneux et détail du minaret.,Photographie (Site historique),102,4
Les étapes de la Reconquête espagnole,Carte montrant la poussée des royaumes chrétiens contre les Almoravides et Almohades.,Carte,108,4
Les routes des caravanes aux XIe et XIIe siècles,Carte du commerce transsaharien de l'or reliant le Ghana au Maroc et à l'Europe.,Carte,122,4
Le Maroc et le commerce méditerranéen aux XIIe et XIIIe siècles,"Carte des flux commerciaux entre le Maroc, l'Espagne, la France et l'Italie.",Carte,123,4
Plan de la mosquée Hassan à Rabat,Schéma architectural de l'emprise au sol de la grande mosquée.,Dessin (Plan),128,4
Porte de la casbah des Oudaias,Vue monumentale de l'entrée principale de la casbah à Rabat.,Photographie (Architecture),128,4
La Grande Mosquée de Fès Jdid,Vue du minaret et de la coupole mérinide.,Photographie (Architecture),145,4
Entrée de la médersa de Salé,Détail de la façade d'un collège mérinide.,Photographie (Architecture),161,4
Porte d'entrée de Chella,Vue de la porte fortifiée de la nécropole royale à Rabat.,Photographie (Architecture),161,4
"Médersa Bou-Inaniya, détail du décor",Travail de sculpture sur plâtre et bois.,Photographie (Décoration),162,4
Les Portugais et les Espagnols au Maroc au XVIe siècle,Carte des places fortes et factoreries occupées par les puissances ibériques sur les côtes.,Carte,174,4
L'Économie marocaine au XVIe siècle,"Carte des productions agricoles, minières et des centres artisanaux.",Carte,186,4
Les routes commerciales au début du XVIe siècle,Carte des réseaux caravaniers vers le Soudan et des comptoirs portugais.,Carte,190,4
Les échanges au XVIe siècle,"Carte montrant les produits exportés (sucre, or, cuir) et importés (draps, fer).",Carte,193,4
Plan de Mazagan au XVIe siècle,Gravure d'époque montrant la citadelle portugaise fortifiée.,Gravure (Plan ancien),196,4
Le Maroc en 1660,Carte du morcellement politique avant l'unification alaouite.,Carte,218,4
Théâtres d'opération des corsaires de Salé,Carte des zones de piraterie en Atlantique s'étendant des Açores à la Guinée.,Carte,228,4
Le Triq-sultan Fès-Tafilalet,Tracé de la route stratégique à travers le Moyen-Atlas vers les oasis.,Carte,237,4
Poussée montagnarde vers les plaines atlantiques,"Carte des migrations des tribus berbères (Zaïans, Zemmour) du XVIIIe au XIXe siècle.",Carte,261,4
Évolution du commerce extérieur au XIXe siècle,Graphique montrant les courbes des importations et exportations de 1830 à 1890.,Graphique,306,4
Les étapes de la conquête coloniale,Carte chronologique de l'occupation militaire française entre 1912 et 1934.,Carte,338,4
L'exploitation coloniale dans la première moitié du XXe siècle,"Carte de l'infrastructure (chemins de fer, barrages) et des centres miniers (phosphates, Jerada).",Carte,358,4
La médina de Rabat,Vue de la médina de Rabat utilisée pour l'illustration de la couverture.,Photographie,"6, 14",5
Le Maroc septentrional,"Carte physique du Nord du Maroc montrant les reliefs (Rif, Atlas), les villes principales et les altitudes.",Carte,16 (Table des cartes : p. 447),5
Le Maghreb occidental au temps des empires almoravide et almohade (XIe-XIIIe siècle),"Carte historique montrant l'étendue des empires Almoravide et Almohade, les routes commerciales et les avancées chrétiennes.",Carte,102 (Table des cartes : p. 447),5
Le Maroc au milieu du XVIIe siècle,"Carte montrant le morcellement politique du Maroc au XVIIe siècle entre différentes zaouïas, chefs locaux et les premiers Alaouites.",Carte,218 (Table des cartes : p. 447),5
Le Maroc sous le protectorat,"Carte montrant les zones d'influence française et espagnole, les infrastructures (chemins de fer, barrages) et les ressources minières.",Carte,302 (Table des cartes : p. 447),5
La découpe du Maroc en régions (1997),Carte administrative moderne présentant la division du territoire marocain en 16 régions selon le découpage de 1997.,Carte,350 (Table des cartes : p. 447),5
Franchissement de l'oued Ouaar par la seguia Tafellaght. Vue aérienne.,Vue du ciel montrant le tracé du canal d'irrigation traversant le ravin de l'oued.,Photographie aérienne,213,6
Aqueduc. Vue d'ensemble prise de la rive gauche.,Vue panoramique montrant les arches élégantes de l'aqueduc de l'oued Ouaar.,Photographie,213,6
Face amont.,Vue détaillée du côté amont de l'aqueduc de l'oued Ouaar.,Photographie,213,6
Face aval.,Vue détaillée du côté aval de la structure monumentale.,Photographie,213,6
L'appareil des arcs.,Gros plan sur la maçonnerie de briques et la construction des arcs en fer à cheval.,Photographie,213,6
Les croisillons.,Détail décoratif en forme de croisillons sur l'un des piliers de l'aqueduc.,Photographie,213,6
La petite niche.,Niche ogivale décorative située au sommet d'un pilier central.,Photographie,213,6
L'aqueduc dans le cadre du ravin.,Vue paysagère montrant l'insertion de l'ouvrage dans son environnement escarpé.,Photographie,213,6
"L'aqueduc vu du canal, rive droite.",Perspective de l'aqueduc prise depuis le niveau supérieur du canal sur la rive droite.,Photographie,213,6
Le canal sur la rive droite.,Vestiges de la canalisation en maçonnerie sur le bord du ravin.,Photographie,213,6
Section du canal au sommet.,Vue du radier et de la coupe transversale du canal Tafellaght sur le tablier.,Photographie,213,6
Le petit ouvrage de la plaine des Glalcha.,Ruines d'une structure hydraulique secondaire liée au réseau de l'aqueduc.,Photographie,213,6
Fig. 13 et 14. Photographies de l'ouvrage prises en 1899 par M. de Segonzac.,Vues historiques de l'aqueduc de l'oued Ouaar avant l'effondrement de deux arches.,Photographie (fac-similé),213,6
15 et 16. Le rebord circulaire effondré.,Vue des vestiges du contour circulaire du grand bassin des Gaba.,Photographie,213,6
17 et 18. Détail de ce rebord.,Vue rapprochée de la construction de l'enceinte du bassin.,Photographie,213,6
19 et 20. Blocs de pisé.,Énormes blocs de maçonnerie en pisé constituant l'enceinte du bassin des Gaba.,Photographie,213,6
Plan de situation au 1:50.000,Carte topographique localisant l'aqueduc de l'oued Ouaar et le bassin des Gaba près de Taroudant.,Carte,213,6
Seguia Tafellaght (franchissement de l'oued Ouaar).,Plan schématique montrant le passage de l'eau au-dessus du ravin.,Dessin/Schéma,213,6
Aqueduc. Elévation au 1:100,Élévation architecturale de l'aqueduc dessinée par M. Perez.,Dessin technique,213,6
Plan du bassin des Gaba au 1:1.000.,Relevé topographique de la forme circulaire du bassin.,Plan,213,6
Ph. 1. Sabre de parade marocain,Vue d'ensemble d'un sabre marocain de la fin du XVIe siècle avec poignée en ivoire.,Photographie,221,6
Ph. 2,Gros plan sur la poignée en ivoire incrustée d'or.,Photographie,221,6
Ph. 3,Détail d'un médaillon en or décorant l'épaisseur de la poignée.,Photographie,221,6
Ph. 4,Détail de l'applique fleuronnée au sommet du pommeau.,Photographie,221,6
Ph. 5,Détail de la virole et de la garde en argent ciselé.,Photographie,221,6
"Kjoekkenmoeddings de Gayville, en cours de formation. 1. Partie récente",Amas de valves de moules noires et blanches sur une plage.,Photographie,226,6
Foyer où sont ouvertes et cuites les moules.,Vue de paniers de récolte et de récipients de cuisson élémentaires (bidons) sur le site.,Photographie,226,6
Vue d'ensemble,Large tache formée par les dépôts de valves de moules à Gayville.,Photographie,226,6
Détail du kjoekkenmoedding relativement ancien,"Conglomérat de sable, terre et valves brisées formant une butte coquillière.",Photographie,226,6
EL-QÇAR - Panorama pris du côté Est,Une vue panoramique de la ville d'El-Qçar el-Kebir montrant son étalement dans la plaine avec des bâtiments et de la végétation.,Photographie,842,7
Croquis d'El Qçar el Kebir d'après le plan de M. le Capitaine Larras,"Un plan topographique détaillé de la ville d'El-Qçar el-Kebir, indiquant les quartiers, les portes (Bab), les mosquées (Djama), les sanctuaires et les routes vers Tanger, Larache et Fès.",Carte,843-853,7
MINARET DE LA GRANDE MOSQUÉE D'EL-QÇAR,Photographie montrant le minaret de la grande mosquée d'El-Qçar avec une croix indiquant l'emplacement d'une inscription grecque encastrée.,Photographie,915,7
INSCRIPTION DE LA MÉDERSA,Photographie d'un estampage d'une inscription en relief sur marbre relative à la fondation d'une médersa par le sultan mérinide Abou Inan.,Fac-similé de document,1529,7
EL-QÇAR - Mosquée de Sidy Al-Azmiry,Vue extérieure de la mosquée de Sidy Al-Azmiry montrant son architecture et son minaret.,Photographie,1548,7
EL-QÇAR - Le Soûq,Une vue du marché (Soûq) d'El-Qçar montrant l'activité commerciale et les bâtiments environnants.,Photographie,1199,7
Planche I : Outils pour la laine,"Série de dessins techniques montrant les outils utilisés pour le travail de la laine : peignes (Mechat), brosses (Qarchel), rouet (Marzel), dévidoir (Chboû) et quenouille (Rokka).",Dessin,1311,7
Planche II : Métier à tisser (Meramma),Coupes en long et en travers et détails techniques d'un métier à tisser traditionnel marocain utilisé par les tisserands (Derrâza).,Dessin,1321,7
Planche III : Poteries,"Ensemble de 14 types de poteries traditionnelles fabriquées à El-Qçar (Kaskas, Zalafa, Gça'a, Barrâda, etc.) avec leurs prix.",Dessin,1340,7
EL-QÇAR - Mosquée de Sidy Ya'qoûb ad-Dadesy,Vue de la mosquée de Sidy Ya'qoûb montrant son minaret carré et les palmiers environnants.,Photographie,1632,7
EL-QÇAR - Marabout de Moulay 'Ali Boû R'aleb,Vue extérieure du mausolée du saint patron de la ville d'El-Qçar.,Photographie,1655,7
La tour de Sidy Bel-Abbas,"Croquis d'une tour octogonale faisant partie de l'ancienne enceinte, devenue un lieu de dévotion juif.",Dessin,1697,7
Emblèmes et pavillons,"Description textuelle des bannières et étendards utilisés par l'émir Youssef ben Tachefyn et les Almohades, notamment l'étendard blanc portant la profession de foi.",Description visuelle (texte),"99, 100",8
Le minaret de la mosquée El-Kairaouyn,Description architecturale d'une tour carrée de 108 empans de hauteur avec des inscriptions en azur et surmontée d'une pomme dorée.,Description visuelle (texte),38,8
Talisman contre les scorpions,"Représentation d'un oiseau tenant un scorpion dans son bec, placé sur le dôme de la mosquée.",Sculpture/Talisman décrit,39,8
L'Anezà de la mosquée,"Panneau de bois de cèdre sculpté servant de mihrab d'été, portant des inscriptions calligraphiques.",Élément architectural décrit,45,8
Le grand lustre de la mosquée El-Kairaouyn,"Lustre massif en cuivre pesant 1 763 livres, doté de 509 lampes.",Objet d'art décrit,46,8
Fenêtre à grillage en marbre,"Fenêtre sculptée en marbre blanc située au-dessus du bassin de la cour, accompagnée d'une inscription sur pierre rouge.",Élément architectural décrit,44,8
Idole en marbre de Fès,"Statue représentant une jeune fille avec des inscriptions antiques gravées sur la poitrine, découverte lors de fouilles.",Sculpture antique décrite,25,8
L'arbre d'or mécanique,"Automate en or représentant un arbre avec des oiseaux chantants, offert par une députation génoise.",Objet mécanique décrit,173,8
Illustration 1 - Effectifs de la diplomatie multilatérale onusienne à New York,"Graphique montrant le nombre de diplomates accrédités par mission permanente auprès de l'ONU à New York, répartis par nombre d'États selon des tranches d'effectifs.",Graphique (Barres),50,9
Illustration 2 - Effectifs de la diplomatie multilatérale onusienne à Genève,Graphique illustrant la répartition des États selon le nombre de diplomates accrédités par mission permanente auprès de l'ONU à Genève.,Graphique (Barres),51,9
Illustration 3 - Effectifs de la diplomatie multilatérale onusienne à Vienne,Graphique présentant le nombre d'États en fonction de l'importance numérique de leurs missions permanentes auprès de l'ONU à Vienne.,Graphique (Barres),52,9
Tableau 1 - Typologie de divers régimes politiques en relation avec l'autonomie des gouvernements non centraux,"Tableau classant différents pays selon trois catégories de régimes : États unitaires, États décentralisés et dévolués, et États fédérés.",Tableau,65,9
Tableau 1 - Les principaux instruments internationaux des droits de l'homme et du droit international humanitaire,"Tableau listant les déclarations, pactes et conventions régissant le droit international des droits de l'homme d'une part, et le droit international humanitaire d'autre part.",Tableau,294,9
Figure 1 - L'effet boomerang,"Schéma conceptuel montrant comment les ONG locales, bloquées par leur État (A), activent des réseaux d'ONG internationales et d'organisations intergouvernementales pour faire pression via un État tiers (B).",Schéma,299,9
Le baptême de Clovis,"Raoul de Presles offrant son œuvre à Charles V. L'enluminure montre plusieurs scènes : le baptême de Clovis par l'abbé Rémy, la remise de l'écu bleu fleurdelisé par un ange, et d'autres moments fondateurs de la monarchie française.",Enluminure,141,10
La Liberté guidant le peuple,"Une femme (allégorie de la liberté) brandissant le drapeau tricolore sur une barricade jonchée de corps de révolutionnaires blessés ou morts, entourée d'insurgés armés.",Peinture,142,10
Portrait de l'émir Abd el-Kader,Petite photographie montrant le personnage historique algérien Abd el-Kader.,Photographie,143,10
La prise de la smala d'Abd el-Kader,"Scène de bataille coloniale montrant des soldats français et des algériens, avec des tentes et des chameaux au milieu de l'action.",Peinture,143,10
De Gaulle en Irlande,Le général De Gaulle et son épouse marchant avec des cannes dans un paysage désert lors de sa retraite.,Photographie,145,10
La Cour,"Caricature montrant De Gaulle portant une perruque à la mode ancienne, porté par deux courtisans.",Caricature,146,10
Liberté j'écris ton nom,Illustration inspirée du poème de Paul Éluard.,Peinture,146,10
Illustration de couverture,Image artistique signée Huda Lutfi ornant la couverture de l'ouvrage.,Dessin/Peinture,Couverture,10
Maquette de couverture,Conception graphique de la couverture réalisée par Hafid Gafaïti.,Graphisme,5,10
"Couverture des Archives Marocaines, Volume IX","Fac-similé de la couverture d'origine du volume IX des Archives Marocaines, montrant le titre et le logo de la Mission Scientifique du Maroc.",Fac-similé de document,19,11
Page de titre du Kitab Elistiqsa,"Reproduction de la page de titre de l'ouvrage traduit, mentionnant l'auteur Ahmed ben Khaled Ennasiri Esslaoui et le traducteur Eugène Fumey.",Fac-similé de document,21,11
Emblème du Ministère de l'Europe et des Affaires Étrangères,"Logo officiel de la République Française avec la devise Liberté, Égalité, Fraternité.",Logo/Emblème,1,11
Logo de la Bibliothèque diplomatique numérique,Identifiant visuel du site de la Bibliothèque diplomatique numérique (BDN).,Logo/Graphique,2,11
Sceau des Archives Marocaines,Représentation circulaire ou sceau imprimé figurant sur les publications de la Mission scientifique du Maroc.,Sceau/Gravure,31,11
Mur d'enceinte de Tanger,"Plan schématique montrant les différentes parties de l'enceinte de Tanger avec indication des époques de construction (portugaise, anglaise, musulmane).",Plan,99,12
Plan de la Qaçba,"Plan détaillé de la citadelle de Tanger (Qaçba) situant les palais, mosquées, prisons, batteries et jardins.",Plan,112,12
Tatouages des tribus rifaines (Fig. 1 à 5),"Cinq schémas représentant les motifs de tatouages faciaux caractéristiques des tribus Tamsamân, Beni Ouriar'el, Beqqoûya, Beni Itteft et Guela'ya.",Dessin schématique,176,12
La charrue (Fig. 6),"Dessin d'une charrue traditionnelle marocaine (mihrath) avec ses différentes pièces : socle, sabot de fer, manche et brancard.",Dessin,234,12
La faucille (Fig. 7),Dessin d'une faucille traditionnelle (menjel) utilisée pour la moisson dans le Fahç.,Dessin,235,12
Plan du dolmen (Fig. 1),Plan technique avec mesures d'une sépulture mégalithique découverte à El-Mriès.,Plan,292,12
Le dolmen ouvert (Fig. 2),Représentation d'un dolmen dégagé de sa végétation montrant les dalles verticales et horizontales.,Dessin (d'après photographie),293,12
Enlèvement de la dalle (Fig. 3),Scène montrant l'utilisation d'un palan pour soulever la dalle supérieure d'un dolmen lors des fouilles.,Dessin (d'après photographie),295,12
Carte de la Maurétanie Tingitane,"Carte géographique montrant le littoral et l'intérieur du Maroc antique avec les noms latins et grecs des fleuves, caps et villes.",Carte,300,12
Inscription juive ancienne de Volubilis,"Fac-similé d'une épitaphe en caractères hébreux carrés dédiée à Matrona, fille du rabbin Iehoudah.",Fac-similé,Planche hors-texte (entre 378 et 379),12
Inscription punique trouvée à Lixus,Fac-similé d'une dédicace votive en caractères phéniciens anciens.,Fac-similé,Planche hors-texte (entre 378 et 379),12
Territoire des FAHÇYA,Carte détaillée de la banlieue de Tanger et de la région du Cap Spartel montrant l'emplacement des villages (dchour) de la tribu.,Carte / Croquis,Non paginée (entre 148 et 149),12
Emblème des Archives Marocaines,Un sceau circulaire ornementé contenant le texte ARCHIVES MAROCAINES avec des motifs géométriques et des inscriptions en arabe au centre.,Fac-similé de document / Sceau,Page de garde (non numérotée),13
Sceau de la Mission Scientifique du Maroc,Un sceau officiel de forme circulaire avec des inscriptions arabes au centre et la mention 'Mission Scientifique du Maroc' autour.,Fac-similé de document / Sceau,Frontispice (non numéroté),13
Tampon de la Bibliothèque Nationale,Un tampon rectangulaire avec l'inscription 'RF BIBLIOTHÈQUE NATIONALE' indiquant l'appartenance institutionnelle du document.,Fac-similé de document / Tampon officiel,24,13
Marque de l'Imprimeur E. Arrault et Cie,Une marque typographique indiquant la date 22-10-06 et le nom de l'imprimeur à Tours.,Marque d'imprimeur,399,13
Fac-similé de correspondance marocaine,Reproduction de lettres officielles du Makhzen issues des archives de la Légation de France.,Fac-similé de document,XIV,14
Figure géométrique d'Aristote,"Représentation circulaire décrivant les relations entre le monde, le gouvernement, la loi, le roi, l'armée, l'argent, les sujets et la justice.",Dessin / Schéma (mentionné),116,14
Illustration de couverture,L'œuvre Eskimo Mask réalisée en 1955 par Jean-Paul Riopelle.,Dessin/Peinture,6,15
Figure 1. La gamme d'instruments de politique étrangère,Un schéma présentant le spectre des instruments allant de la socialisation (diplomatie douce) à l'intervention (force armée) en passant par la coercition.,Schéma technique,34,15
Figure 2. Le cycle de la formulation des politiques étrangères,"Un diagramme circulaire montrant les six phases : cadrage, mise à l'ordre du jour, examen des options, décision, mise en œuvre et évaluation.",Schéma technique,57,15
Figure 3. L'harmonie,Matrice de la théorie des jeux montrant une configuration où les deux joueurs obtiennent un gain de 4 en choisissant l'option 1.,Graphique (matrice),81,15
Figure 4. La bataille des sexes,Matrice de jeu illustrant un problème de coordination où deux équilibres de Nash existent selon les préférences divergentes des acteurs.,Graphique (matrice),82,15
Figure 5. Le dilemme du prisonnier,Matrice montrant un optimum instable où l'incitation à la défection mène à un équilibre sous-optimal.,Graphique (matrice),83,15
Figure 6. La chasse au cerf,Matrice représentant un jeu où la défection est motivée par une stratégie de prudence face à l'incertitude.,Graphique (matrice),84,15
Figure 7. La poule mouillée,"Matrice de jeu combinant deux équilibres avec un optimum instable, simulant un test de témérité entre négociateurs.",Graphique (matrice),85,15
"Figure 8. Comparaison schématique de la prise de décision selon la théorie du choix rationnel, la théorie de la rationalité limitée et la théorie polyheuristique",Schéma comparant comment les options sont sélectionnées ou éliminées selon trois modèles théoriques différents.,Schéma comparatif,95,15
Figure 9. Risques associés aux styles de gestion,Graphique croisant l'activité du chef et la structure décisionnelle pour identifier des risques comme la pensée groupale ou les jeux bureaucratiques.,Graphique conceptuel,217,15
Figure 10. Typologie des caractères selon James Barber,Tableau classant les présidents américains selon les axes de l'affectivité (positive/négative) et de l'activité (forte/faible).,Tableau typologique,238,15
Fac-similé du cachet du Sultan,Empreinte du sceau d'Abdelaziz ben Elhassan avec inscription calligraphique.,Sceau / Fac-similé,142,16
Tableau des recettes douanières,"Données chiffrées des encaissements douaniers par port (Tanger, Casablanca, etc.) pour les années 1900-1903.",Tableau,145,16
Tableau de répartition de l'emprunt par banque,"Liste des banques contractantes (Banque de Paris, Société Générale, etc.) avec leurs pourcentages de participation respectifs.",Tableau,149,16
Le Général Lyautey à Aïn Sefra,Portrait du Maréchal Lyautey positionné en frontispice du volume.,Photographie hors texte,Frontispice,17
Les confins algéro-marocains,"Carte géographique détaillée montrant les itinéraires de reconnaissance, les pistes principales, les massifs montagneux et les lignes de chemin de fer dans la région frontalière entre l'Algérie et le Maroc.",Carte hors texte,Fin du volume,17
Couverture de l'ouvrage,"Page de garde du livre 'Foreign Policy and Political Regime', édité par José Flávio Sombra Saraiva, incluant les logos de l'Instituto Brasileiro de Relações Internacionais.",Fac-similé de document / Page de titre,1,18
Page d'informations éditoriales (Verso de la page de titre),"Informations bibliographiques du livre, incluant l'ISBN 85-88270-12-9, le dépôt légal et les coordonnées de l'IBRI à Brasilia.",Fac-similé de document,12,18
Table des matières (Sumário),"Liste structurée des chapitres du livre, divisée en deux parties : Théorie et Histoire, puis Vues Comparatives et Diversité des Expériences.",Tableau / Fac-similé,5,18
Tableau des régimes politiques post-soviétiques (Groupe 1 : Libres),"Classement de la liberté (Droits Politiques et Libertés Civiles) pour la Lituanie, l'Estonie et la Lettonie selon Freedom House 2002.",Tableau,106,18
Tableau des régimes politiques post-soviétiques (Groupe 2 : Partiellement libres),"Classement de la liberté pour la Moldavie, l'Arménie, la Géorgie, l'Ukraine, la Russie et l'Azerbaïdjan.",Tableau,106,18
Tableau des régimes politiques post-soviétiques (Groupe 3 : Non libres),"Classement de la liberté pour le Kazakhstan, le Kirghizistan, le Tadjikistan, la Biélorussie, l'Ouzbékistan et le Turkménistan.",Tableau,107,18
Page des contributeurs,Liste des auteurs ayant participé à l'ouvrage avec leurs affiliations académiques respectives.,Fac-similé de document / Liste,363,18
Fiche technique de production,"Tableau détaillant les spécificités de fabrication du livre : format, polices de caractères, type de papier et tirage (2000 exemplaires).",Tableau / Colophon,364,18
