id,filename,title,description,context_note,auteur,creator,date,period,place,type_document,document_ref,figure_type,source_document,editeur,annee_publication,periode_couverte,langue,isbn,lieu_edition,collection_serie,chunk_id,page_ref,license,attribution,source_url,download_url,repository,source_figures_dir,source_path,original_filename,file_ext,file_size_bytes,checksum_sha256,width_px,height_px,download_status,download_date,quality_note
8,FIGURE_7_FRISE_EROSION_SOUVERAINETE_madrid_conference_1880_p5.jpg,Erosion de la souverainete - page 1880,Document page used for the sovereignty erosion frieze.,Érosion de la souveraineté. Partie II - Frise.,Conférence de Madrid,,1880,XIXe s.,Madrid,Document diplomatique,"Convention de Madrid (1880), p. 5",Document diplomatique,,,,,,,,,,,Unknown,Source not recorded,,,,,,,jpg,1946990,cf2fc3abe0e84436b69cf6e4cbd53ff248f8bce6fba01308c3e07ef380e23e15,3704,5295,kept,2026-02-07,source URL not recorded
7,FIGURE_7_PORTRAITS_FONDATEURS_ALAOUITES_moulay_ismaeil_larmessin.jpg,"Moulay Ismail (gravure, 1690)",Engraving of Sultan Moulay Ismail in ceremonial attire.,Gravure de Moulay Ismaïl. Partie I - Section A.1.,Nicolas de Larmessin,,ca. 1690,XVIIe s.,France,Portrait gravé,"LARMESSIN, Nicolas de, Le Grand Cherif Mouley-Ismaël, ca. 1690",Portrait / Gravure,,,,,,,,,,,Public Domain,"Nicolas de Larmessin, 1690 engraving - Wikimedia Commons (PD)","https://commons.wikimedia.org/wiki/File:Estampes_par_Nicolas_de_Larmessin.f149.Le_grand_cherif_Mouley-Isma%C3%ABl,_roi_du_Maroc.jpg",https://upload.wikimedia.org/wikipedia/commons/9/9c/Estampes_par_Nicolas_de_Larmessin.f149.Le_grand_cherif_Mouley-Isma%C3%ABl%2C_roi_du_Maroc.jpg,,,,,jpg,2966140,73596e1200b04ed477e97ad49702206c1bbe2a7345d64d55f3d885135298949e,3304,4610,kept,2026-02-07,portrait engraving
9,FIGURE_8_CARTE_FRONTIERE_OUED_TAFNA_regency_algiers_map.jpg,Frontiere Maroc-Algerie (Oued Tafna),Map of the Morocco-Algeria frontier including Oued Tafna.,Frontière Oued Tafna. Partie I - Section A.1.,Cartographe non identifié,,ca. XVIIIe s.,XVIIe-XVIIIe s.,Frontière Maroc-Algérie,Carte historique,"Carte de la Régence d'Alger, Gallica BnF",Carte,,,,,,,,,,,Public Domain,Gallica BnF - Carte frontiere Maroc-Algerie,https://gallica.bnf.fr/ark:/12148/btv1b53021162x,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53021162x/f1/full/full/0/default.jpg,,,,,jpg,1409454,512072d89add135e6f67da97f105cce9a6dd9f386ebbf343bfac3d2011f56fab,2250,1974,kept,2026-02-07,map image
10,FIGURE_8_SYNTHESE_DIPLOMATIE_ALAOUITE_said_muhammed_ben_abdul_melek_1783.jpg,Synthese diplomatie alaouite - Said Muhammed ben Abdul Melek (1783),Portrait used for synthesis graphic.,Diplomate marocain XVIIIe s. Partie I.,Artiste non identifié,,ca. 1783,XVIIIe s.,Maroc / Europe,Portrait,Portrait de Saïd Mohammed ben Abdul Melek (1783),Portrait,,,,,,,,,,,Unknown,Source not recorded,,,,,,,jpg,1612689,cf07e62cbee9b62102a67841ba5b445b59aaeade456c390eb78daea1b27ba047,972,1564,kept,2026-02-07,source URL not recorded
16,ambassadeur_marocain_versailles.jpg,,,Ambassade à Versailles. Partie I.,Inconnu,,ca. XVIIe-XVIIIe s.,XVIIe-XVIIIe s.,Versailles,Gravure / Peinture,Réception d'un ambassadeur marocain à Versailles,Gravure / Peinture,,,,,,,,,,,Unknown,Inconnu,,,,,,,jpg,935829,d4d98c561fd0243e47a672c4d65894f6b24aa776ea8beaac91bf87673ef9df28,1017,1003,kept,2026-02-07,
17,ambassadeur_marocain_versailles_v2.jpg,,,Ambassade à Versailles. Partie I.,Inconnu,,ca. XVIIe-XVIIIe s.,XVIIe-XVIIIe s.,Versailles,Gravure / Peinture,Réception ambassadeur marocain à Versailles (v2),Gravure / Peinture,,,,,,,,,,,Unknown,Inconnu,,,,,,,jpg,763919,9f7e0520f75f0b4e5c5006eb939d09454429bf0edcbcfeaa832a538c81bbff7d,3024,4032,kept,2026-02-07,
38,bataille_isly_vernet_1844.jpg,,,Bataille d'Isly. Partie II.,Horace Vernet,,1846,XIXe s.,Isly,Peinture historique,"VERNET, Horace, Bataille d'Isly, 1846",Peinture,,,,,,,,,,,Unknown,Horace Vernet,,,,,,,jpg,438790,f657f7c8925dd3355a8c4211a7424289812b0ac45a046011e5a5544032409b7c,1959,941,kept,2026-02-07,
39,bataille_isly_vernet_1844_v2.jpg,,,Bataille d'Isly. Partie II.,Horace Vernet,,1846,XIXe s.,Isly,Peinture historique,"VERNET, H., Bataille d'Isly (v2)",Peinture,,,,,,,,,,,Unknown,Horace Vernet,,,,,,,jpg,438790,f657f7c8925dd3355a8c4211a7424289812b0ac45a046011e5a5544032409b7c,1959,941,kept,2026-02-07,
48,carte_empire_cherifien_xviiie.jpg,,,Carte Empire marocain. Partie I.,Cartographe non identifié,,ca. XVIIIe s.,XVIIIe s.,Empire Chérifien,Carte historique,Carte de l'Empire chérifien au XVIIIe siècle,Carte,,,,,,,,,,,Unknown,Cartographe non identifié,,,,,,,jpg,4950196,7bf6093df9a63b2a07d369ca64789d54080cf9cbaceec52f5c2b9df4d976cb2d,6192,5602,kept,2026-02-07,
49,carte_frontieres_maroc_algerie.jpg,,,Frontière orientale. Partie I.,Cartographe non identifié,,ca. XVIIIe-XIXe s.,XVIIIe-XIXe s.,Frontière Maroc-Algérie,Carte historique,Carte frontières Maroc-Algérie,Carte,,,,,,,,,,,Unknown,Cartographe non identifié,,,,,,,jpg,364239,09177c86faac97bdd183256e0eb5793bd3ea5c8131db1f8489de121b48569e90,1200,1610,kept,2026-02-07,
50,conference_algeciras_1906.jpg,,,Algésiras. Partie II.,Photographe non identifié,,1906,Début XXe s.,Algésiras,Photographie,Conférence d'Algésiras (1906),Photographie,,,,,,,,,,,Unknown,Photographe non identifié,,,,,,,jpg,818598,f431ae1d49b80b7b171d1f2fc2af38efbbc51bd23888a8c544596b06c1c6267b,1532,1032,kept,2026-02-07,
51,conference_algeciras_1906_v2.jpg,,,Algésiras. Partie II.,Photographe non identifié,,1906,Début XXe s.,Algésiras,Photographie,"Conférence d'Algésiras (1906), v2",Photographie,,,,,,,,,,,Unknown,Photographe non identifié,,,,,,,jpg,72876,b9623886a61db4c0b9d5424d2d97ba25c41413b083da50f20d289e4286eb617b,640,461,kept,2026-02-07,
52,conference_algeciras_1906_v3.jpg,,,Algésiras. Partie II.,Photographe non identifié,,1906,Début XXe s.,Algésiras,Photographie,"Conférence d'Algésiras (1906), v3",Photographie,,,,,,,,,,,Unknown,Photographe non identifié,,,,,,,jpg,5160984,892435cc4944044c8f0dc86c6d5157ea5aa551e3d792b2a3967b0cbafd52723e,8574,6174,kept,2026-02-07,
55,daniel_rivet_histoire_du_maroc_de_moulay_idris_a_mohammed_vi__chunk_001__page_21_Figure_1_jpeg.png,,,# Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Daniel Rivet,,,VIIIe s. - XXIe s.,,Monographie,"RIVET, Daniel, Histoire du Maroc : de Moulay Idrîs à Mohammed VI, Fayard, 2012",Diagramme / Schéma,Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Fayard,2012,VIIIe s. - XXIe s.,Français,978-2-213-63878-6,Paris,,chunk_001,page_21,Unknown,Daniel Rivet,,,,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES/chunk_001__page_21_Figure_1_jpeg.png,,png,205693,d283b029ae8f8cd81b3c4e2fe29601230cc1ff745552efd948ee88c580c9fe9e,1183,1318,kept,2026-02-07,
56,daniel_rivet_histoire_du_maroc_de_moulay_idris_a_mohammed_vi__chunk_005__page_0_Figure_1_jpeg.png,,,# Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Daniel Rivet,,,VIIIe s. - XXIe s.,,Monographie,"RIVET, Daniel, Histoire du Maroc : de Moulay Idrîs à Mohammed VI, Fayard, 2012",Diagramme / Schéma,Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Fayard,2012,VIIIe s. - XXIe s.,Français,978-2-213-63878-6,Paris,,chunk_005,page_0,Unknown,Daniel Rivet,,,,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES/chunk_005__page_0_Figure_1_jpeg.png,,png,223997,7af1be3e156126aaa167a2ed826d8a94f9b1cdffc26e4fcb21f603566b289e36,1177,1291,kept,2026-02-07,
57,daniel_rivet_histoire_du_maroc_de_moulay_idris_a_mohammed_vi__chunk_009__page_7_Figure_1_jpeg.png,,,# Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Daniel Rivet,,,VIIIe s. - XXIe s.,,Monographie,"RIVET, Daniel, Histoire du Maroc : de Moulay Idrîs à Mohammed VI, Fayard, 2012",Diagramme / Schéma,Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Fayard,2012,VIIIe s. - XXIe s.,Français,978-2-213-63878-6,Paris,,chunk_009,page_7,Unknown,Daniel Rivet,,,,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES/chunk_009__page_7_Figure_1_jpeg.png,,png,228292,42f486ba8b4fd880d7cee759c6ab7b81ed07ad11370033bb5c1bdb45d9ed0546,1187,1334,kept,2026-02-07,
58,daniel_rivet_histoire_du_maroc_de_moulay_idris_a_mohammed_vi__chunk_012__page_7_Figure_1_jpeg.png,,,# Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Daniel Rivet,,,VIIIe s. - XXIe s.,,Monographie,"RIVET, Daniel, Histoire du Maroc : de Moulay Idrîs à Mohammed VI, Fayard, 2012",Diagramme / Schéma,Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Fayard,2012,VIIIe s. - XXIe s.,Français,978-2-213-63878-6,Paris,,chunk_012,page_7,Unknown,Daniel Rivet,,,,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES/chunk_012__page_7_Figure_1_jpeg.png,,png,214393,4d4bc7beb4b4a3fd7f8114c5d2d7130fd78ef17316c3a73c4218e1fbfafcf63f,1164,1285,kept,2026-02-07,
59,daniel_rivet_histoire_du_maroc_de_moulay_idris_a_mohammed_vi__chunk_013__page_22_Figure_1_jpeg.png,,,# Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Daniel Rivet,,,VIIIe s. - XXIe s.,,Monographie,"RIVET, Daniel, Histoire du Maroc : de Moulay Idrîs à Mohammed VI, Fayard, 2012",Diagramme / Schéma,Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Fayard,2012,VIIIe s. - XXIe s.,Français,978-2-213-63878-6,Paris,,chunk_013,page_22,Unknown,Daniel Rivet,,,,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES/chunk_013__page_22_Figure_1_jpeg.png,,png,183861,d3a2073f6a36e69a70a51dc49819be801653db913fe224c54aed398b99086bb2,1176,1300,kept,2026-02-07,
62,daniel_rivet_histoire_du_maroc_de_moulay_idris_a_mohammed_vi__chunk_01_fig_03.png,,,# Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Daniel Rivet,,,VIIIe s. - XXIe s.,,Monographie,"RIVET, Daniel, Histoire du Maroc : de Moulay Idrîs à Mohammed VI, Fayard, 2012",Figure extraite (OCR),Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Fayard,2012,VIIIe s. - XXIe s.,Français,978-2-213-63878-6,Paris,,chunk_01,,Unknown,Daniel Rivet,,,,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES/chunk_01_fig_03.png,,png,205693,d283b029ae8f8cd81b3c4e2fe29601230cc1ff745552efd948ee88c580c9fe9e,1183,1318,kept,2026-02-07,
63,daniel_rivet_histoire_du_maroc_de_moulay_idris_a_mohammed_vi__chunk_05_fig_01.png,,,# Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Daniel Rivet,,,VIIIe s. - XXIe s.,,Monographie,"RIVET, Daniel, Histoire du Maroc : de Moulay Idrîs à Mohammed VI, Fayard, 2012",Figure extraite (OCR),Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Fayard,2012,VIIIe s. - XXIe s.,Français,978-2-213-63878-6,Paris,,chunk_05,,Unknown,Daniel Rivet,,,,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES/chunk_05_fig_01.png,,png,223997,7af1be3e156126aaa167a2ed826d8a94f9b1cdffc26e4fcb21f603566b289e36,1177,1291,kept,2026-02-07,
64,daniel_rivet_histoire_du_maroc_de_moulay_idris_a_mohammed_vi__chunk_09_fig_01.png,,,# Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Daniel Rivet,,,VIIIe s. - XXIe s.,,Monographie,"RIVET, Daniel, Histoire du Maroc : de Moulay Idrîs à Mohammed VI, Fayard, 2012",Figure extraite (OCR),Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Fayard,2012,VIIIe s. - XXIe s.,Français,978-2-213-63878-6,Paris,,chunk_09,,Unknown,Daniel Rivet,,,,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES/chunk_09_fig_01.png,,png,228292,42f486ba8b4fd880d7cee759c6ab7b81ed07ad11370033bb5c1bdb45d9ed0546,1187,1334,kept,2026-02-07,
65,daniel_rivet_histoire_du_maroc_de_moulay_idris_a_mohammed_vi__chunk_12_fig_01.png,,,# Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Daniel Rivet,,,VIIIe s. - XXIe s.,,Monographie,"RIVET, Daniel, Histoire du Maroc : de Moulay Idrîs à Mohammed VI, Fayard, 2012",Figure extraite (OCR),Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Fayard,2012,VIIIe s. - XXIe s.,Français,978-2-213-63878-6,Paris,,chunk_12,,Unknown,Daniel Rivet,,,,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES/chunk_12_fig_01.png,,png,214393,4d4bc7beb4b4a3fd7f8114c5d2d7130fd78ef17316c3a73c4218e1fbfafcf63f,1164,1285,kept,2026-02-07,
66,daniel_rivet_histoire_du_maroc_de_moulay_idris_a_mohammed_vi__chunk_13_fig_01.png,,,# Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Daniel Rivet,,,VIIIe s. - XXIe s.,,Monographie,"RIVET, Daniel, Histoire du Maroc : de Moulay Idrîs à Mohammed VI, Fayard, 2012",Figure extraite (OCR),Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI,Fayard,2012,VIIIe s. - XXIe s.,Français,978-2-213-63878-6,Paris,,chunk_13,,Unknown,Daniel Rivet,,,,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES,/workspaces/PHDM/ALL/ALLMD/Daniel Rivet Histoire du Maroc de Moulay Idris à Mohammed VI/_FIGURES/chunk_13_fig_01.png,,png,183861,d3a2073f6a36e69a70a51dc49819be801653db913fe224c54aed398b99086bb2,1176,1300,kept,2026-02-07,
70,description_et_histoire_du_maroc_2___page_3_Picture_2_jpeg.png,,,{0}------------------------------------------------,Non identifié,,,Maroc historique,,Description historique,"Description et histoire du Maroc (source non identifiée, Vol. 2)",Illustration / Photo,DESCRIPTION ET HISTOIRE DU MAROC (2),Non identifié,1981,Maroc historique,Français,,,,,page_3,Unknown,Non identifié,,,,/workspaces/PHDM/ALL/ALLMD/DESCRIPTION ET HISTOIRE DU MAROC (2)/_FIGURES,/workspaces/PHDM/ALL/ALLMD/DESCRIPTION ET HISTOIRE DU MAROC (2)/_FIGURES/_page_3_Picture_2_jpeg.png,,png,726507,7db5ad8a7ca61c570e9f8e0e25df29f3a17d08fcde773d454cdb045a14697d6a,2187,1302,kept,2026-02-07,
93,foreign_policy_n_political_regime__chunk_01_fig_01.png,,,# Foreign-Policy-N-Political-Regime,Non identifié,,,Théorie des relations internationales,,Article académique,Foreign Policy and Political Regime,Figure extraite (OCR),Foreign-Policy-N-Political-Regime,Non identifié,2026,Théorie des relations internationales,Anglais,,,,chunk_01,,Unknown,Non identifié,,,,/workspaces/PHDM/ALL/ALLMD/Foreign-Policy-N-Political-Regime/_FIGURES,/workspaces/PHDM/ALL/ALLMD/Foreign-Policy-N-Political-Regime/_FIGURES/chunk_01_fig_01.png,,png,20915,18655532bfeee416b4a9572ed9e0bb10e5352994940ec3a067a961535fb577a9,175,154,kept,2026-02-07,
94,foreign_policy_n_political_regime__chunk_01_fig_02.png,,,# Foreign-Policy-N-Political-Regime,Non identifié,,,Théorie des relations internationales,,Article académique,Foreign Policy and Political Regime,Figure extraite (OCR),Foreign-Policy-N-Political-Regime,Non identifié,2026,Théorie des relations internationales,Anglais,,,,chunk_01,,Unknown,Non identifié,,,,/workspaces/PHDM/ALL/ALLMD/Foreign-Policy-N-Political-Regime/_FIGURES,/workspaces/PHDM/ALL/ALLMD/Foreign-Policy-N-Political-Regime/_FIGURES/chunk_01_fig_02.png,,png,407159,936dfe59dd8e81c47fe5ffddd17077ec341d347725ccae04224046d2394332a7,1171,790,kept,2026-02-07,
98,hesperis_tamuda_1959__chunk_01_fig_01.png,,,# Hespéris Tamuda 1959,Collectif (Institut des Hautes Études Marocaines),,,Études marocaines et berbères,,Revue académique,"Hespéris Tamuda, Tome XLVI, 1959 (Archives Berbères et Bulletin de l'IHEM)",Figure extraite (OCR),Hespéris Tamuda 1959,Librairie Larose,1959,Études marocaines et berbères,Français,,Paris,Hespéris Tamuda,chunk_01,,Unknown,Collectif (Institut des Hautes Études Marocaines),,,,/workspaces/PHDM/ALL/ALLMD/Hespéris Tamuda 1959/_FIGURES,/workspaces/PHDM/ALL/ALLMD/Hespéris Tamuda 1959/_FIGURES/chunk_01_fig_01.png,,png,129177,b18245db2b3970248a501ea375178117faf90aa7437562ac11e7f0bd7cd258c7,436,424,kept,2026-02-07,
